identification,NSS,HASH(NSS)
U6x0PQBD,274017523759309,641908650
YKtMxO3s,200106852842556,713155567
UR9PhC31IFHnAh,274125522262859,701673698
9biyTXUEDXNK1O,276126048502602,817951574
w5sb4L1B6oK,240096049234748,998880212
CkEcVorRK,143092924709342,102413690
BOEZPzlDhqV58l,236044093276382,520437988
CGMYiJiFssLa,206108466128608,503225527
pZfu1z9J5Zqjw7DG,106042030181730,941282971
TsA9JNor,233087069800642,216258903
29exHqleLpxn2DEu,211076618370710,234016231
XGT400SZs32,217087330246632,899953723
fsrfhAZXkEg,234117026931790,400723678
72n2b2V92,213072179558755,126845019
srhZl9VXSU,195042529282615,892291139
S8nQPgLVUGV,101032615108218,771697757
1KEf0gNC2xT4,242128025513089,211625621
1Ymt2TvRyDiGntlO,150017170097914,103210393
qWKPtwQmp,249024973270022,613643811
HMCDaDIJUE7wg6C,252081492694542,592001510
R0ulLCYIihZxXT,174099538238701,521044800
gpAIbZm8oYDt1NyS,135122933874496,141544445
nupNRfXDK77ji1Ds,252092885584633,595214920
Yl4TUtis,262126546057441,110455101
mdPjqVzHrPDkE04D,108078177820386,743006933
lJVeLnJ6x,157036984351129,565494899
t25IS55xARmjTRYH,153086786239412,234791526
17iZd7JZI,191054928266860,883412593
XP5lHh6NYtEzmHg,187025422942162,780445576
fQRJoGaaAEM,181106260556547,771673237
t6DRQEMUWk,175010175435670,893666974
THWXfR37llFG,233116432496447,317971856
OSrMPtq4S67UBgHn,158016315971025,923837676
zaZosi1aDDgFj02n,208112697894944,246877221
mir3GOtDi35WMeh,207075969170610,266595510
8Qe5Ia5lj,113085945515270,537960543
PlTzGCi7cbpOLX,290017549671567,995711325
imgfDrJQOf4MZS1,218108876210086,467107070
jzOD9Pq0jrIItV0,118012799439134,597281948
4HK4KrYg09,297051253472738,495972478
mJskkWlibqPiz3,211120535567338,434966612
HnSqXtywOgQjGFKG,232058897528090,839407464
7GtHG9RLFR,224039544142814,421765036
HakoDaZZefaTpI,201030139687993,522579230
FeaaStqT2qd,186096054569589,013986879
tilW9Ex8zWS,211122981803823,973783255
0eEWioZQb6KrMD,253028437123044,197959564
w2B2ecPM8PdyPnZ,117092565682673,190684329
ktLXugJ9IWDvi,134082158757414,083828376
kGED0nojhiN,158123093322177,988059312
VJ3OQosS8jVQ,191073285733155,458633122
awCcdrf1xoceXoHM,238097987293572,196273589
VUYutyekONS,273022119139055,072190745
qbbnPK9PnVM,189029230201412,776188511
KD2INqYoY,236087460947867,310121915
e06YT1m7,138129575893708,736632776
Fqjkc9uVSoqV9,286033618009887,900985033
jmCPl9oKj5L6kU,146107173559845,716254180
uRJxGFAUBG,280068282859491,755132821
P2W3YSdwbYXov,117125901129270,869001981
87eQ6POL4VhCR,130010920385104,243311354
XKIeJn8d,214023827285537,662550069
iLwx35cJWhpXTNe,267048574438735,996259595
uslryhfrij1VCV,173073134638845,144018262
A0ukP1wpPQDMMxI,157094419496964,498673916
01x98kSpSBgD1,260091923339377,986207425
vUxpQe6vTdlqGNEM,101063957096520,092382857
MPmv7UquNn,142067750388462,397772559
9F2l0MaSCZw,150044921984503,953144935
mvzG738neI7f,201122625855575,367751748
x6XFH6k7,256091082615936,828560776
x2oT847kddCc191,137057544620938,577040929
qX96zig5,197025408535083,756358052
NdYlEKXwkUg0H,148038373306224,263225237
RB76olVqh,127100861308424,012117407
9NBBUPud,134026297862563,457349195
s8XMhwY2qQck4t,187014780746433,451539768
dH6gkunl1,261126182484022,773314697
Me4Kqo9MsTbeQL3,168026804937448,492590532
PhlIsxJt,296058937551460,908488072
b2PDSamehfG,154089126175355,766093988
uM7pGryzSzKofUw,203092212564034,349437172
L8eX2jFpatuUC,110057533928231,379470666
nZ3Jx2lz9YGaKH,295034268554707,060585668
dwhzpPBOFT,295110489735926,058934517
WL3NvXXN87,128054201466729,652392554
zoUOpVh4hmLPN,185070665747113,050529097
muIuaIi2FA1f,252107371826101,168673580
ccLqw8ckA8I,291029365787878,297311606
VyFmDHdpr1tTs,185121123136172,219824826
FLDxlPaN6,160035124440317,459305191
sgeRssoPQMs3rv,284087492904865,579827418
zeFMZVAuF2d,204064127960691,227775886
da037is1,258091898700619,536637547
TrlOKg5jsr,265032201547462,841328507
fG9aDES1yBI37M,185073186134935,267885455
6d1U4HG7U,233066392498243,250735917
bO5dJQ3Omxv7q,260022368919383,648716875
ANShI1aPhtc2J,246094028326912,223624187
wVWumrTZd,294083977285780,760901673
k7tLz08aghzurU,172118351858704,341563398
ZqiXGIZBpEOCWD,210122016287984,808799003
qH90FEiYi2NF,274122444083109,602855461
ED0RmYDIcAsA6F,126114749274898,192287740
dg5lrgur0xyz,102074111922248,815194606
LLtsudw9MsVRWE2p,298117840337557,583501903
bQJKTK6D8sP9sL,138047830709334,268726431
IpdofmUBCg5ya,142111519973051,577162228
D5ZrKOSCNp,129030761749528,129147746
LkVXGp5d,287052589747329,773271816
masJBEG9TR,212103581564819,820884478
tiAf4F9GjrSliUL,140093860195081,794640300
tD1hIUEZ,293095661314142,307208178
nJiBV1AK2NT,157050491460912,683782679
