identification,NSS,HASH(NSS)
941870828602,359142627830556,01eb6a59c1b794b47c00f1855ca8bd5fdffd01e524e7654fb30e8e55c3e82904
362127831260,237993687960521,b46648cd255ccd223a9feff94360f47b5257b440ff5a3261141e8d91aedb7574
33659800601673,041218339232919,a1647e789cd54d540a635bd419a049ba1d760782fac50875444b774ce87dd17b
39606616290,085223429747844,a38ced36ff8bb0623345b9e4248f3ae71cbca62965bc27833f968dffcad8b4a9
696634185799561,261584853623677,ecaa3269571d956bdbe20f5fed1880184a3f703a1c2e4326a13f5d220560d0ba
8536270915,649333454674840,ffca8f3d60d09257bbcf5352aa1610ce29109e1da4ac72c09a780936bcc804bc
852923800915852,283809892388667,f41fc8a8f840d219b5366c25cb4e4e47a74845e1f4e64ed7202e3112c53f41eb
698506687699,028298863914713,12d0aebb3ce99d0be8622828df6ccc1c3cfe988e8164aea365a365f0f5233e91
52753591347,919155993269968,59c5d35a40d24fec6545d5dfb8bb9da20d912d0a7d61518c3df892155b4ae8dc
98617984723,817655033233410,6d98e41fe63e14b44ad6416eaa14fb4c8dd8eac9b03747f56651f5265fd8d248
4476935664220737,520762109272661,12885334bde84d7b808adac97feac3b4705a5fd36e2fd4434e6532a8447fe3a7
594334807029410,529176650755643,8fef9aba3660d847e88dd8a48183ad8cbcc2e98fce63f7b231318b4b541b1a8a
417482169713,623348069961615,b7da9d512e8f545444b1197f18ba3dbd4c28420d36a5a7e8198c215c03937057
03281424411574,577415516418116,c7e6af0afc81b933d195f7ccf2fd77c17d517953edc834ef408232b316a378d0
8145794769,779531617660897,a933da38728ab0853cccdff752d90821d6afaf4a922dcd2c0ea39f9e8d7ea2fd
94615167995682,437720005856630,7518c04251820e526c4b6f3f1b97bfb721ef54b3741bc1089299757e6c3d5543
804929342348706,576338402164365,63e71ccad8c6ce87bd8a30d1a3690e3a83f55bc1fdf2ff49c6f949ad373aa746
5740825072831,320672775325650,e85c425c147b79dc825686c929047a609531abe75270417244391e575a88045a
3141162210309965,266410332864765,b6aee298ea03d816e9855c331be6f0d46ca68d0c382c11ae1703d6bc57f58629
63748981936832,557682764671356,d601a95a449e68f3f871806f8eff0ed6c150b23cbed89182d9bee7eb8314e58c
98871314414,326427063359876,612486ecd1617456da02b9fba66457f75963f8df78425b9134a01ccd9b4b6ade
3527825170,540610097698862,3fb796a9ac09eaa1be7ff80db795f6e95fd9947a399d9607b3b96786e7e3dca0
32413408613,261756057057158,24f4b8fd71cfda78e78c348acaf61a93d36478175a120881f02cfbf4c310fab1
1446012493826,176773731040321,256ba8a823d9f6de0a237e07ca4f7ebc794399205949126e83464e60f44702c5
617600829006847,264771180986873,b333597966533ab4637f30cad957e46729f6fed96fc548497c94830e5a230e9a
9340958372287836,446147074757708,9bc74dfa83b8a1987c292e143ebec7d621641b2a190e62408d8bd404eb4c3f45
203876512606122,277537750560465,f8a5825666bed6abb26bcc4e12eba5ec3a3bc936de00788bf032966233db22e3
9610831266,677724623544364,0c5529c2ff71928d2f699ea07ca942a74d21772bd769da7ec140b3d7667ecfc0
46932397273,389800173139064,bb557b34e285394f9d30a8ae8c218be37d6ab96370f5c6df9b1a9d9b4b91ec4f
4280434652,418386884857066,97488106c87b4d4ee1bdc471aaff3fc5112d33dbcbed55db7f6e92b3527c4e93
923539817093,850005596382034,d51e0ff20d35b4280f6ff64d9ab4148de4f50c358d8a5f1e48d7488774351200
68166686090,651880556031408,d46188b782976934fdb6d24cec843f0ab5ea2f7c836f9bfcc757af78d59eaf0a
93902581539882,474185483941998,3267290a411fc4137386da0030ab5f0a3bbaedf2b080a59e9c0e343fd00c38e0
96313766280,610625301116268,091ea1325922e809ce038223824580db42f08a3ca987cad885d5ae055082f00e
2117928942,490023498066737,3d232cbd3a9c2a3b685fd8c19e260e4c50d33f1f423f1b7d13012f83e6a7eb57
962737414811,830149999029799,471e0efc49699f24b349d342140e6629d864d5552af544e2e81291f97d416314
748042800975506,299244927837124,534d3dc41a66ea671b43fadd82d4b87e72b6e111f2a8ad82bab2c6ec28c5d925
6247187580,261388583770552,818cda5fa9748d6dceadf38c36d051013339a822275e39eca3b1cd6ed3be36c7
07937419999,696686064506787,e57387e85e4e1a9a2b32d804645ae82c67e172fcc68ae2909bf38500336c2d85
8954592492189872,530507952119770,194d503c2e8ea220df74c0594e2bd073097e8f9f8c0f358901c342bf49d171bb
83041170006071,327543331345066,e612d04adbc302ee53c18232e898f5413e892e213ff9a4bae4c0ba0bd9d5940a
7257009173879389,820295026880386,ab1f96e1f2192c625b1abc789c55f59cb7011648577e87a774941f92893338e4
348568890288551,997474063627111,da50e9d62392e919c48786c19d235b187551aec06e59d01359a1bf404cfb9057
7495554451,485151449352400,5fec09f4f52bf2d9806739b029f67a7823b8412a43774cfba8e547802b9c5586
23613797391,506209839882866,5b8ab2abbd3c284c76438f9445a339e79a0a796935d4598235a48844b3d46aa3
428742176018692,767931442429551,89980f6a58896366696026b7d209d1310ca352a3b69fb1769309aa0690b2710b
733776345996,640256297038892,37b1194bbdee52f789ac087bddfc0ebe81cad99f77df7a80645842b250671ac6
3690755176111395,667573498934196,c87b40a4e2a380d332190462305851ce1e5a927caa0323e1a512cf605866a121
5255641676847270,985412058939651,f2c0642fdf010f8cde816cf4d3a3141208a5c1dbc34a336ca160854dd2bf2375
19189062857581,900884016815248,dfabe81118dfcb350fde841577620cae79e4cd6afd89ae9504045a5ce9cf974a
474787930737662,924504839931075,2c021ad992b178b36f85420c6bff4a174c9028263692fb6c5a4c078af0afd84d
0409478690062,208828968906956,eaa2d00e8251e03d23d5ab2a252daf7e8f3ed236df7d88d1a7866850da99ddb6
9958548427527,985281829037400,021e0d9cf8421f48709cb56e5289ee44783b4d31ea736c3613bd3528a888c21e
3798413849248235,187567223072276,bd8ab1780ac7ffd6bc19f91d6c9ca37193adf81ce564af158ed3480cc6839027
478771872391,422176346928748,0344cc8b5fc08a6c8e90a9896f0fa1c9d196f4764debe281f37015bf9544cd0d
0259766454623,717780353736727,d2cb1f0399f9946341c4fdbd1c911f55cc4acad46999dba4374318bd21c2c68b
13122941744449,323726375892565,d2f9553de0daa741ab3964751649d1a91a8961da2b7a0270115cfa2880503018
06760847139431,965115423091997,28fc7b3c057943a724928812e9d6eaa4d9127e53ca68399bdbc962e4022bbd2b
2952093645939,151530924190756,e12c32d543ce2085595b3c7aec3d26144f25045b089298b472d3e059f040d8d4
311198662412642,755863225731660,a32dfe1e98c7023eedade8fbfd4e3f365e951b7a01c867aa5af4f2e8bab27502
8451913284963289,549282693757377,d610a2cec550efa42c3fa4dc03652ef208a27b042d2fcd5cc55cd7afcf07f67a
7852491577,778136960466351,afc59173d2fbc37b4ffac117136ef6ed3f7869500fe0baaa1126e241acdcf7e7
514791997877680,167866458559431,154f25603d2ae052d48bce209a74cd7e65ba57233a56b050801e657f77e0cbb8
0737440616455440,659941498731437,6ffeda09ef1d716d38911419e6448f6b7b702d388e01662706a51b69157c844c
727761745611,305004858297899,d92b946ee08cb196e2633e75658d2a99446f06a34a722fa47aea049479244ff5
4574726491,612137723215502,57d8a05085d153b0d3f55a74a024538cdd9de3de768422884c1a2adbd5da22b3
413063559882709,042112297685822,425d6891dee80be57e065f438b93b20fe6a2ebf13cb63d588ea4d2452b52dcb5
068034346582,388332859547958,ed8a7794e29ded3d166d8ec32d41ae629ab2d193f70f722ceaee4c0bfa154efb
71436586275385,322844881156835,baf9b9af1d190ebedb20d13158a5d44a69fbf3702536eaefd38ed9741bce0656
5998171258218,077716846094592,a9aa140f6bd26c5b592717aeb352836ae625d6a318a479fc1be0ef16ca8b785f
81447042768167,456439881935618,71479aa7edfb0c5ec286cf5b9e67a39561933dec0d94778e465a44c6095be82b
322457721140,513385083719148,5d63baba57e72647332ce971286a7284408688fc060be87d04d83dda40f554bc
898977456766639,945116672196986,40c990592524e490cafe40420a2ef9eba2d44963e8a08083a105f3e14269aee2
832366284582,283399921319901,e4e482de479263db5e1384ab3ab35fa8897f3959d3ed4446f5638bb1006a95f2
6815391957413501,847570539672952,5436d960c701245d142e06ca328a534a716bf4939442d28aafe7fa6692367c94
5190050468813441,514824444585470,caa9ebf326801ad47c6803151b10eafcd1a36103e897bf8b215e1cef9e22babe
990992858662,214320787290790,f80fb727bb5c0fb5936b115cd884fcd58ff954bf29cf33e851403f12c2d3500a
9633283258,323723336000613,3eea4d7ea356fd6d1bea2ee9615d2c6f055dc473c7ab2b401ad8529ef229329f
898340265775059,276327297190766,577e71d24a99bf58d8d00616d7fae6ccfea4821ef19744ed0d31e5b9091a3ae1
859659606558,502526827825333,c8bd7ab7e8b27bdef0e42d8710a69df7a2b2b35a00eb893ccf343276145ac3a2
9718328367271800,761717194584685,a9b410ca8ec8170245b424d4decb8730f943d2658d656e79f77e4ada095e58f0
35428776391,890782458934961,9474d8eb818112483c7467b709c64c8b3259f6f48918bede9b83ca8a4718e893
2339159768068414,106041097969891,018fa7a1a1df36d3a75ca01df83040d9cb3033c3a1b1f2f8a88866225f10c875
2120758834007914,597608082333583,fbeeb561013cde4f4015b6fdf205d734aa241cf0f3a800dfb79ec2e6983469a8
51541014047477,307778411317399,45177f5cc7aefab098c8df91570bfa05b19aacd39c923438f859eb4d582fc956
