identification,NSS,HASH(NSS)
687850610647,112020428033060,534496712
948330519378,148042750909759,849383986
912976612080,243088503875152,182023267
237096870721,176065632446258,182326310
221419372516,123080252433549,857723556
802611342765,115061620447967,773571806
660269536730,271096034934487,131770130
966799501305,223016220839247,820050398
914488660380,246106498072992,960018326
405236094465,185103805832255,188899996
275772818955,219088478061904,981516847
754912871663,113056423966811,263576684
357985047606,150085926407247,489873298
931673213048,222077921508624,558069441
966177868497,178021313129736,406431279
695501198391,194027541683537,375437816
157672169043,241047516117186,768963037
313026167294,272107035481824,801879940
571376176212,238057365817734,202680434
287289700446,103028625540027,864962749
355313000228,185128458808678,538070927
188190010377,223089224153436,861221122
133438704482,179113703357265,569582801
218289800780,238105216579431,632203408
590137572487,269067476697399,345202893
927798276777,139110771959141,078814742
907836212879,219082564064867,203718623
557488743439,117097731446912,781190410
000010887851,197098496920780,923956047
022096470774,122047255258127,348351916
228305734895,224123204978036,584468311
272234075495,221021915336406,521713659
272682005454,244058260900975,372474071
113168198511,284035345905158,462234572
933749756382,263048731896720,742215147
093654955096,285022066851783,011867552
339490112360,266048951632653,916637777
253147634233,217018667634785,339043815
285445366724,294074749821811,936615800
396600874611,128051024292334,593845874
867776253318,107075219625721,314092268
598591090306,121092550416048,087860788
444057365341,183023392090518,766904392
064297518435,183075733780199,236585729
485640102775,164030310410803,743627168
077046119589,296093087482952,768185064
881777772599,186067877210473,049049951
802221686864,188043171232823,605549982
740456339996,274071931234760,589228569
205218276476,296012648353556,994203188
442719116540,154088603951182,632436199
594311319573,230038071892748,246313870
151135660000,219040755887816,135782466
420868025671,175105970868355,902202813
219190394817,223103421053509,450473305
137757048208,164012090486425,764221250
566526125617,219021205950030,555748262
321220623357,153083149204072,173615576
570699176399,171035627483428,342453464
533182194978,215123290476587,776275237
660331588370,221036366190373,788191873
485085269328,104038591167966,132253360
143500515920,188099529802150,330356958
172685009465,170119302639082,718161499
062759231416,188120543081991,893440439
098177508464,241052507524787,209937830
406852220441,136061992036157,680767908
339847396411,185060663547529,864844119
142071484366,196031031856912,762448524
271354674768,103049436788018,564175656
830174052810,168024821033720,870212073
846863920187,108124452888724,623172143
287664724482,170068732174775,100792522
242067315090,250031703605869,257338941
