identification,NSS,HASH(NSS)
prL1IJmLWl,412146375686338,822286532
nmTqvHMdhnfVz,452710955684128,707784575
2I8FUuVS3G16v,427953897369452,759827229
em4rxicq,084380321014347,503498950
4kQzHIqDAz,417527412851489,450137058
1ZO2VzlXYXMu2SYa,824380419255135,278304194
JXSxtd6EDfIr,481545731803384,805287210
Uy4vZIMHILPNIos,885998524170574,307535570
n4CzWzOZSDPSRI1o,529596957651273,568862261
3PDbPBzbZfP5sm,758415782095421,948797968
F6Oy6h5XLS,440190103553838,202615649
csXmUMHBchyEhsyX,012822885000776,773443889
VTpB1Tcpcp3QWAB,773504980070848,504636199
jHeE6sAm2Tr,184560277624948,656953341
RB3WSxK1fRJd,349479579891016,347118884
v0nii3yPy,160651459176016,097563977
FpKmmoTzAF9SvI,286383851547649,604253308
cLLMW7JlFy,834527856365979,559376958
ODypQqjuiaY,625116779226173,064704435
B73jqdMQkMBj,343455769932439,168693619
ySt7CwGg1kF,669748133600350,937325969
aZc4riBqoEjMNO,817865477997358,575719673
FuYYlWlMPj,729189457983858,069113634
EkohqtlBn15ggh6T,382726040910027,283783042
HEcrESSawpzIqno,484575810153881,369077809
5MN1Y7QdpqoZrh,586403740001570,383029188
pI1UiInIVYx8,048204840811082,574065478
jU6E92rj58Y7c59,519823194595924,255632013
eNfx2c9dpFna,237375578503868,448800763
PMPMoZITwzQeR6,522041069000717,845589821
x0z7KG5MJR6yR2J,892455458259373,864717425
xJFotEPXseQzaRe,358837198912773,922864310
7V0JoVLrzPY,689421613974222,450382920
4OD1AxUW,576800712527800,691901181
HAE7Q3g4uLzQhfi,341729152212488,202724707
6Hq3vYMhizoDLz,954686253733766,018110868
kuAQ4kqqPcoRiTsB,529482356330595,202507529
VtIi1S0ml,655643467203437,837456657
Bomcnb63p5hnmIM,351250302858308,532198799
Hk6rtUH1NEB,865452276214849,765080895
3oRhHi8QNlLi2,035833370186473,947835779
F0jrLoXw7t7dm3H,562999973681902,843132382
ZI0MHZ2uqBzXHJc,271886555713442,510513305
InpZEvzTiF,627983905423542,263707694
tsbuIx1x4y5Nv,067530627199281,161193760
iOA0rceVI,777971614224898,166908819
9vY0W1Nett,056689106141911,124844071
jm97rE7OAQXD,882468863290477,886047828
feVYzdkAVK2,551730067962037,463166922
vyLEujTW4JIR0K,350918240746728,612262823
0DAStGJaCyMuZZ2s,103979129730269,120214758
OjJHkDk9a,386707120725914,560485594
vifhKlNNEh0,067014162979768,164585432
17uV5FWVsB,865463522676840,391199693
FbUMiHLT,380038706224946,140810492
qMEze4ZkvcEk,896119588783771,889431551
4i9QNg9ENbX7iP8a,421829953599764,014308775
rMl717IXJQ1,533494114695378,242567980
xa4bvZe7vEGtCXto,019238250445677,369574480
mTnxlih5,776770741766424,429835056
srcZEb6M,314349657157382,665563218
4mNVAHJP05I9,126742098790732,645401924
0qg84aOijPksB,749992638432034,803223440
hxyc04dMCILi1,802687494810063,416712951
fINsgjROg5Ccwd,933183146610788,973156802
ACVAkfHD5v,715917236615193,042030206
NpUfdE59N3qXbSW,175369095994120,890378768
IB7nKZbC6LGLO,105104682870355,504231014
WmYFqMSlhm,810941902904969,064555623
XIavwWBLBMLv9,504472210247160,279183576
OMiV6TsB,444321044615185,457863815
JNxx3Cs8sojL,461178191438951,735105724
IexooIttHvXz2L,129664037755754,979355839
DnbGEp54,852044197838886,593193728
hQWvZp3b,191712303770243,318094708
uRSZaH1W,764208829125090,007654187
utCPk53DiZnePo,095543519589620,542704299
IXJiABcxT3jzbMJ2,215412420862675,245421198
0EtZ8qSXgTl7Nr1,598735903490467,209888388
VH8xJC6gELqHPiD,567878704067240,488921570
Mu3biR99PI2Y1,399548124994691,727664167
B0Ng5l7FZFk,917206583600956,449764831
DkqejUwPRoizeUm,462172443387389,636700653
0Z2Sd2VNDlH2owUG,639876136648845,614387324
1OnZXumEwjnM,227261865083778,818672046
mbIUm1FjCXIxxUyg,538464117314556,544675555
L4I3Xd148q,473007838448609,439300666
nmhJxCGkq,522584539565667,401297928
R1UvPHBpA,341170525633621,989053591
27F8EOqgva,470010594769318,652886689
OEYr4nW5,229860324304847,379358157
hUFdGb8fvW,016293219632873,989169820
0edXk2i6cg,187147114787071,954210454
1ZgrBy7FOJOd,461559705869628,722912962
2X4HKQFiF5XS,541157484125551,329963687
BH8f0uzu,297213607634086,629377933
pLf4sejJcKLbb,952218010499760,873712396
AxuCVNyDTm,475481578687813,662911376
oyinCkePpe,675104398417370,581760157
yIhf5mlJ,135269711158171,016177332
ToN6OLY4ze7XOW,177700769109074,682683878
zCHNsCVhWk02,074352575204466,608443296
DFc7i06it,667909765759370,459055561
Sw8g78nL,794485664341531,521256009
trnbRI0GFRb9,772008455702544,638833408
hzIpb7KSmVfQk,899074882258847,011801959
LyhW5CD8oKhl,632701514494194,707995730
nhL3KbhKikpI1h,842680383014460,636062862
tsJdZOBLvR,813642312917328,466466734
cKXMtxq442Fe,522744937238216,983055904
4aRRmRhF,578010308306372,286180375
6DxDvjPNeX,926989515496114,973544891
BU8gi8tF,070689557730314,782711847
pbawBpLdPheUQD,154754170585652,519125036
8bfEdrVMIQ,830448159988778,666078294
BTDoxf0gKx78,366112325426174,716814698
Fbdvi0dly5mmPB,590370539538740,767970598
en340ndFXI,532164413559545,362878341
0TVEttzb,802086471679670,129990881
EfffhdvXX0V,438357975906945,775426300
HwYB0cgmdINCMp,103010268755085,719110593
yyoqUgkilqKNjgu,961215030685800,850358420
njg3KYZt,285738098301245,390233310
6qDd5JeOCBS,798700069184521,707504098
2laa20Bx24Cj7,541736031132221,455139615
iPJizfQcqX,856070203949878,332605866
a9AY67pC5,498833086843101,744926553
VbRCVap9,034158799405109,680614742
0zzCUYNl3l,618042566601605,713674678
5V9LuokUXor,287083582477404,078699630
uGClR7i7,604116484342573,979803416
fr5VQtrOL,663097510319797,248332891
HTxZTXXOWwmoNI,663568263556434,921637604
T7DxU4e5rcdZu,312041801914126,955154075
jC3bQ8D9YPqS,030284534313236,649025576
kvxKpSrTvd6HJIN,271653458433051,181093702
ccVWprF8oB0ED2,389353894324552,976338048
BXQKpmqCI,391161808576614,975754374
jMAsB9fPF,646386262785921,148736930
7xcWjc3761uVZ,879404501746359,609536287
Y0O1SoZOPuRy3F,153544045268001,498799008
nD9Zl6rrXpPZ4,407501802579763,464722007
RMwrHPCX,518475869886993,230672673
hdX55c5BKueLQa,434633372231180,168254440
