identification,NSS,HASH(NSS)
f30jDwanusU6vC,250048141505600,073796725
3QVS4Ug3xDGE,266010312659801,018394884
PEq7zDymJ,276023435984030,602571338
UkgYjGhTo,190093970933734,848646349
QDZmYG4IQNPocH,283044041193168,270424067
iTpg1o6xlQfgQnh,198126790045340,684301833
MGvRHlqCO,115124972222110,412024120
wb8NHt2WshoaM,274018661336329,891456766
yXEsnxrFAo4WHjJ5,127021668810489,418732466
AhOzmBfzOp,114032341479278,058963382
57KIp6l6MmNjuEAo,206017505715589,506265795
0By36YlsvZfDD,269097241787596,599781945
ZLDxzTiPJg,265093458423528,819972279
ZENKDZSEe618K,289027527107684,906635467
zIgXqIO0HhnwkFT5,279053482141561,723802581
PjPHUlaAAbh,190068269816805,937059067
gyKDQ3Rn,259080601215577,536160623
gUlZV1RA,100024254872654,186066819
vfOfNdebQw,214093461968112,919826257
TTdYWTIfUaj,224069554658568,222745618
ZKROtfXLEbAdZKc,162055785737738,756072995
QNuLc2KrOcKx8o,143120124560205,434318181
Y9nVBsvEYr0,109108776182241,362848089
kemYyU22IUD,129090395405814,568193950
QlfmOotD,220070307907275,181503027
XvJ88RbZsIC6uFs,237115171875769,168104541
CvOZ2BrTmO,123119064484810,585540145
R1Qqs8qRD,203065363278939,624897130
Qp4UnpZL8K02pGI,191080321506308,594221905
kuIUQLmE4JLkwl3,242050122937693,624952249
sEKhu56yEJ3Sv,268076858616072,281874555
p6r8bKAX,284017279850330,763024591
J8GGESmgEQvv,105095271604856,053099676
cjjeNopsu1ptq,219106001030045,163883204
S3WWmtSIHlerIoi,284019084486292,842100434
nvq0VZ0i,199080308578528,581503113
HyHRJe5PI,291024497992287,313941001
87LwU275zWc,120032061040512,078982094
DU0ynW24YHP5xIBx,164010121727871,638659795
NbbMKVGbm19aydCQ,292110987246388,492063945
lJylEnJ6XZhJ,211038891256004,465524750
JN6HBmhftSYOL,190057645522907,843227338
eUnL9L2C039x,173067938895663,798324887
MVLwv2K0Kn,200084760565122,060882797
rCwKraUZQmSn47q,132032595048332,605534132
qwv92BdytvheSSd,252097289274543,087026920
xwOJonNdAJNL,267088938182076,484927959
IL2wm6aiLUG7i,126080798482013,826057314
UD8LYIlEDcAm,205043530345412,201948391
bnyctkARmB,242017498316643,161765145
AlNRoETngB,192048152391222,508618575
zk4mKSZN8OxaZ,100092028656521,660309370
C6XBfo82N,115048541248101,660747825
YqIEF0aH2gInM,280024330938966,856843455
S8iVczw0omYO,172068546568237,335864304
s1Yt8TJ0,120096609760976,810935297
ZkORX4sw,274125522262859,701673698
M2IXlmRDY0wqZ6V,103102133237696,467920937
bORXTctIADsHqQHD,240037193986110,068071410
3PkenK5A,194120347321284,075709835
fIB3obo33Kbtfu,263109203988029,577350107
Qu9RnhGyzw,280102548856726,307986557
anbp4VKK,299075142823804,974121655
Fs8bDF2O223ozcV,148107547318923,908663906
pEUeWQMt,275018004158989,687516928
aBS8rAVTUIK,204109166721909,853939190
HZ4pwB8hOKVZ,103073926773293,028832386
5wsYCy5YxSn,105063277800677,180770443
2Ch0RlmGd62,169115477362755,156896395
lpyUOvHXOUvW0sQ,186083126846944,896165429
DEd4p7ksqKUZJT,193080203070901,416566664
FAz0ImSInkpER3,188037920036280,152231337
20mZaCVUzP7WEyD,173115385931588,058437718
FJ4unUdW4ARAM,289025741169809,354397419
IbEAbT0qrk,227048014172175,694126532
S1DqiBJd,171087376829633,033384865
KiD5rLmEFx,135058010395640,845400070
0Suw6TGkihZGMo,234096686661072,912368595
v9HiJqtTKaczOVs,296127747370417,258985423
5jSqk4pqE,284033379206927,412089232
feFlMvKhMd8xz,270025616424632,577426971
Jx6P2I7B,136051177723174,984231796
HGWsjzAKSjjbE,172123654828461,706684716
nKzBr6BYWwhq,133064243099155,043341723
9oF40xwERjf3rS1,134017717325133,430311404
S6SDnmtf14,276034666262266,059390617
Vee7nQL5IoZCHZm,144108891685210,750008422
RrEQsELM,147084212419585,778595586
POd03D8YeGe48,163058477054650,388483680
R1xfh4U8,224064698509200,369529574
9PI15Idox5pn7fC,105078826080344,231804739
T7KBMNsLWJ4,125017751132066,020564093
BBygCpAoJ,138014402597852,605419594
zNb95XQza,256090258523989,405253717
D5KaPm2IICD36s,175071171134784,237988084
fucdQqfDTp23,137078517128390,506793986
1bDY729VA,273085168102987,176596596
CQoSj13KTb,179064183006512,677369759
tWklMkCK,166037924748152,603618141
H3zOppLcmV0xZzO,215098978102239,295270193
CqKy2xDIK2ObUN,220068930088657,898190829
xCNELexiKM4xvf,260089498505078,471243440
6Ycj1EOqD3p,223086994774273,515500945
CRixnjTiTN4B,229116161119696,362751601
PUkhp0akmvV9Ndi,113113715623873,454449849
BKkIqQrRDu9Qr2,160076720243751,261735933
UxWbcWDwoS,242056729635773,590556100
DskUBYJwJMA4x1,272110751953137,197283479
eDSzjvptk,128081019511523,792203935
sktKl1eAGq,271019137850925,658182208
VqflhazxgEwmipq,169054520024599,974041829
mIfc67r2M4D,285058894468869,014588435
IojROG0R82,288050233646348,075756870
PkVvhUKuo93oaY2,170029589057373,547538371
vsfq3DybY,228027836637346,367589603
9MkIGjOYes,295110489735926,058934517
nyE1hwkDY,146096273084497,295327846
Mzy4vhAN,234013780284082,364892552
zAg43N2bU1k,239085330271016,059419232
rzXv5v7NzkmWnPK0,103084460125672,093192403
lnRKpBgjWyS9pc,282101633945955,802800665
